"EXPORT - MIXED PAPER HISTORICAL PRICES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"DATE",,"Avg. Price","Chicago","New York","Los Angeles",,,,,,,
,,,,,,,,,,,,,
,Nov-14,,,,,,,,,,,,
,Oct-14,,$92.67,$68.00,$95.00,$115.00,,,,,,,
,Sep-14,,$98.67,$76.00,$100.00,$120.00,,,,,,,
,Aug-14,,$102.00,$76.00,$104.00,$126.00,,,,,,,
,Jul-14,,$102.00,$73.00,$105.00,$128.00,,,,,,,
,Jun-14,,$101.33,$73.00,$104.00,$127.00,,,,,,,
,May-14,,$102.33,$73.00,$104.00,$130.00,,,,,,,
,Apr-14,,$101.67,$73.00,$103.00,$129.00,,,,,,,
,Mar-14,,$103.00,$74.00,$105.00,$130.00,,,,,,,
,Feb-14,,$101.67,$73.00,$104.00,$128.00,,,,,,,
,Jan-14,,$102.00,$73.00,$104.00,$129.00,,,,,,,
,Dec-13,,$100.00,$73.00,$101.00,$126.00,,,,,,,
,Nov-13,,$110.33,$85.00,$113.00,$133.00,,,,,,,
,Oct-13,,$110.33,$85.00,$113.00,$133.00,,,,,,,
,Sep-13,,$101.33,$75.00,$104.00,$125.00,,,,,,," "
,Aug-13,,$96.33,$69.00,$99.00,$121.00,,," "," "," ",,
,Jul-13,,$106.33,$84.00,$106.00,$129.00,,," "," "," ",,
,Jun-13,,$107.67,$85.00,$106.00,$132.00,,," "," "," ",,
,May-13,,$105.33,$83.00,$103.00,$130.00,,," "," "," ",,
,Apr-13,,$109.00,$86.00,$105.00,$136.00,,,,,,,
,Mar-13,,$115.67,$90.00,$115.00,$142.00,,,,,,,
,Feb-13,,$113.33,$90.00,$115.00,$135.00,,,,,,,
,Jan-13,,$106.00,$83.00,$108.00,$127.00,,,,,,,
,Dec-12,,$123.67,$102.00,$124.00,$145.00,,,,,,,
,Nov-12,,$123.33,$102.00,$123.00,$145.00,,,,,,,
,Oct-12,,$101.67,$74.00,$105.00,$126.00,,,,,,,
,Sep-12,,$76.00,$54.00,$77.00,$97.00,,,,,,,
,Aug-12,,$82.67,$60.00,$83.00,$105.00,,,,,,,
,Jul-12,,$116.33,$90.00,$118.00,$141.00,,,,,,,
,Jun-12,,$124.00,$98.00,$126.00,$148.00,,,,,,,
,May-12,,$124.67,$100.00,$126.00,$148.00,,,,,,,
,Apr-12,,$133.33,$108.00,$135.00,$157.00,,,,,,,
,Mar-12,,$132.33,$108.00,$134.00,$155.00,,,,,,,
,Feb-12,,$122.00,$95.00,$126.00,$145.00,,,,,,,
,Jan-12,,$112.67,$85.00,$116.00,$137.00,,,,,,,
,Dec-11,,$103.67,$82.00,$104.00,$125.00,,,,,,,
,Nov-11,,$100.67,$80.00,$102.00,$120.00,,,,,,,
,Oct-11,,$182.33,$163.00,$182.00,$202.00,,,,,,,
,Sep-11,,$185.67,$166.00,$186.00,$205.00,,,,,,,
,Aug-11,,$185.67,$165.00,$185.00,$207.00,,,,,,,
,Jul-11,,$182.33,$163.00,$182.00,$202.00,,,,,,,
,Jun-11,,$170.67,$148.00,$171.00,$193.00,,,,,,,
,May-11,,$166.00,$145.00,$165.00,$188.00,,,,,,,
,Apr-11,,$165.67,$145.00,$165.00,$187.00,,,,,,,
,Mar-11,,$162.67,$140.00,$163.00,$185.00,,,,,,,
,Feb-11,,$156.67,$130.00,$160.00,$180.00,,,,,,,
,Jan-11,,$152.00,$122.00,$158.00,$176.00,,,,,,,
,Dec-10,,$147.33,$120.00,$151.00,$171.00,,,,,,,
,Nov-10,,$142.67,$115.00,$148.00,$165.00,,,,,,,
,Oct-10,,$129.67,$107.00,$131.00,$151.00,,,,,,,
,Sep-10,,$119.00,$97.00,$120.00,$140.00,,,,,,,
,Aug-10,,$104.67,$80.00,$107.00,$127.00,,,,,,,
,Jul-10,,$97.33,$77.00,$97.00,$118.00,,,,,,,
,Jun-10,,$93.00,$75.00,$90.00,$114.00,,,,,,,
,May-10,,$117.00,$95.00,$116.00,$140.00,,,,,,,
,Apr-10,,$116.00,$89.00,$117.00,$142.00,,,,,,,
,Mar-10,,$124.00,$102.00,$125.00,$145.00,,,,,,,
,Feb-10,,$117.33,$97.00,$117.00,$138.00,,,,,,,
,Jan-10,,$104.67,$78.00,$106.00,$130.00,,,,,,,
,Dec-09,,$96.33,$70.00,$101.00,$118.00,,,,,,,
,Nov-09,,$99.33,$74.00,$104.00,$120.00,,,,,,,
,Oct-09,,$97.00,$76.00,$101.00,$114.00,,,,,,,
,Sep-09,,$103.00,$82.00,$107.00,$120.00,,,,,,,
,Aug-09,,$95.67,$79.00,$92.00,$116.00,,,,,,,
,Jul-09,,$85.33,$67.00,$87.00,$102.00,,,,,,,
,Jun-09,,$83.00,$64.00,$85.00,$100.00,,,,,,,
,May-09,,$64.67,$48.00,$66.00,$80.00,,,,,,,
,"Apr-09",,$58.00,$36.00,$63.00,$75.00,,,,,,,
,"Mar-09",,$44.00,$21.00,$48.00,$63.00,,,,,,,
,"Feb-09",,$50.00,$35.00,$50.00,$65.00,,,,,,,
,Jan-09,,$33.00,$25.00,$28.00,$46.00,,,,,,,
,,,,,,,,,,,,,
,"AVG",," ",$87.97,$111.30,$130.30," "," "," "," "," "," "," "
